,caption,count,funny,precision,rank,score,somewhat_funny,target_id,unfunny,contest
18,Please let me finish. Not everything revolves around you!,126,24,0.0697546360227163,19,1.6507936507936507,34,1417,68,655
19,Clearly Russia is behind you!,154,32,0.06484162702751119,20,1.6493506493506493,36,1430,86,655
20,I know for a fact Russia is behind this.,145,28,0.06531021940619192,21,1.6482758620689655,38,1663,79,655
21,Twelve hours from now my opponent will do a complete about-face.,139,28,0.06762678663147349,22,1.6474820143884892,34,5151,77,655
22,Don't be fooled by her 4.5 billion years of experience.,151,25,0.06114750440175875,23,1.6423841059602649,47,4979,79,655
23,We've had enough of your spin.,143,23,0.06240955598755234,24,1.6363636363636365,45,5131,75,655
24,"In the past 12 hours, my opponent has made a complete about-face.",153,28,0.06272646208741132,25,1.6339869281045751,41,197,84,655
25,Spin! All we get from you is spin!,133,22,0.06533793553742236,26,1.631578947368421,40,4487,71,655
26,My opponent changes his position every day,156,28,0.06182899435076978,27,1.6282051282051282,42,1340,86,655
27,"All my opponent ever does is spin, spin, spin.”",129,23,0.0679055497885542,28,1.627906976744186,35,5183,71,655
28,"Folks, we need stability—not a revolution every 24 hours.",140,28,0.0676031108028447,29,1.6214285714285714,31,3875,81,655
29,Really? You held the exact opposite position just six months ago!,131,23,0.06720492605883709,30,1.618320610687023,35,1835,73,655
30,"With all due respect, I am the one with the degree in global studies.",136,21,0.06353667351380256,31,1.6176470588235294,42,177,73,655
31,And can we trust a candidate that does a 180 twice a day?,133,24,0.06726926718424187,32,1.6165413533834587,34,227,75,655
32,"Oh, I get it - the whole world's right and I'm wrong.",140,30,0.06919424249770996,33,1.6142857142857143,26,5022,84,655
33,Make no mistake—in just half a day his position will have changed 180 degrees!,145,24,0.06280954525201958,34,1.6137931034482758,41,2220,80,655
34,I don't care how many millions of years it took. Your 5 minutes are up.,146,22,0.06098954715898295,35,1.6095890410958904,45,2926,79,655
35,Wait... If you're here then where am I?,145,28,0.06586918980181332,36,1.606896551724138,32,1545,85,655
36,My opponent’s position changes every day!,145,28,0.06586918980181332,37,1.606896551724138,32,5103,85,655
37,You are bipolar and tempestuous.,147,28,0.06515704570282578,38,1.6054421768707483,33,2371,86,655
38,Even your own poles show you losing.,139,27,0.06743796218923279,39,1.60431654676259,30,61,82,655
39,If you're here then what am I standing on?,118,22,0.07235592818220224,40,1.6016949152542372,27,3135,69,655
40,"I've got many, many continents. More continents than you can even imagine. The best continents.",147,25,0.06305065978953324,41,1.598639455782313,38,3294,84,655
41,"Rest assured, by the time this debate is over, my opponent will have changed positions yet again.",145,25,0.0638008693626571,42,1.5931034482758621,36,419,84,655
42,"Spin, spin and more spin!  Stop that!",167,25,0.057076712809496666,43,1.592814371257485,49,3801,93,655
43,"Unfortunately, Wind and Fire will be unable to join us tonight.",157,27,0.061259184909781356,44,1.5923566878980893,39,3000,91,655
44,"And another thing, you think the sun rises and sets around you!",152,25,0.06146468263473364,45,1.5921052631578947,40,841,87,655
45,My opponent believes the sun rises and sets on her.,127,24,0.0701332767238183,46,1.5905511811023623,27,2132,76,655
46,Are you better off than you were four billion years ago?,139,20,0.061953858978265386,47,1.589928057553957,42,1578,77,655
47,"Just in the last day, my opponent has rotated 360 degrees.",151,24,0.061094883813219696,48,1.5894039735099337,41,239,86,655
48,The only thing we have to fear is sphere itself.,153,27,0.06257394096411065,49,1.588235294117647,36,403,90,655
49,You're in trouble at the poles!,143,29,0.067550369582096,50,1.5874125874125875,26,3968,88,655
50,"Yes, but can you act locally?",150,20,0.05845640580438971,51,1.5866666666666667,48,2233,82,655
51,"Just as we seemed to finding some common ground, you rotate right back to the same position you held 24 hours ago!",135,23,0.06598757373781657,52,1.5851851851851853,33,4035,79,655
52,Don't be intimidated by the gravity of my opponent.,130,22,0.06712834953448697,53,1.5846153846153845,32,625,76,655
53,"There you go again, thinking everything revolves around you!",158,23,0.058340614823778,54,1.5822784810126582,46,3081,89,655
54,"First you spend millions of years making fossil fuels, now you say we can't use them?",141,25,0.06535386365246819,55,1.5815602836879432,32,2915,84,655
55,Please let me finish. Your last turn felt like it took all day.,131,24,0.06849973402255365,56,1.5801526717557253,28,1944,79,655
56,"Look, if you are who you say you are then what am I standing on?",147,26,0.0639788792990953,57,1.5782312925170068,33,3704,88,655
57,"Yes, ladies and gentlemen, it is me against the world.",147,25,0.06324641520475807,58,1.5782312925170068,35,3999,87,655
58,Not quite. But you're getting warmer.,149,23,0.061113977110237735,59,1.5771812080536913,40,162,86,655
59,Nothing but spin.,137,23,0.0652986563980956,60,1.5766423357664234,33,407,81,655
60,"There you go again, promising the moon.",151,18,0.05672215392149365,61,1.576158940397351,51,4329,82,655
61,"Unlike my opponent, I don’t believe everything revolves around me.",139,25,0.06615780452990867,62,1.5755395683453237,30,1028,84,655
62,Are we really considering electing someone who will be over five billion years old at the time they take office?,131,18,0.06321819010170393,63,1.5725190839694656,39,3785,74,655
63,It's all spin.,134,18,0.06217521261429326,64,1.5671641791044777,40,2974,76,655
64,"It’s always about you, isn’t it?",134,19,0.06307121303944153,65,1.5671641791044777,38,4555,77,655
65,This debate doesn't revolve around you.,143,20,0.06082223352809773,66,1.5664335664335665,41,2936,82,655
66,My opponent relies too heavily on poles.,156,29,0.06312740486995447,67,1.564102564102564,30,3551,97,655
67,Enough with the spin.,156,23,0.05906599131465074,68,1.564102564102564,42,4803,91,655
68,She keeps going around and around and never gets to her point.,133,21,0.0652329749306365,69,1.5639097744360901,33,4603,79,655
69,"Half of each and every day, my opponent is operating in the dark.",153,27,0.06278020460369901,70,1.5620915032679739,32,3221,94,655
70,My opponent here is a master of spin.,132,17,0.062020844993368074,71,1.5606060606060606,40,2268,75,655
71,"As always, my opponent is going around in circles.",116,16,0.06738730178079988,72,1.5603448275862069,33,1618,67,655
72,My opponent spins everything.,152,23,0.06030417887844766,73,1.5592105263157894,39,683,90,655
73,"I knew Venus. Venus was a friend of mine. And you, sir, are no Venus.",152,25,0.06173225041811748,74,1.5592105263157894,35,2343,92,655
74,My opponent has been spinning in circles. If we follow her we'll just end up in the same spot next year!,156,22,0.05840475453935833,75,1.5576923076923077,43,3575,91,655
75,It is almost impossible to overstate the gravity of my opponent’s position.,131,22,0.06694429840605877,76,1.5572519083969465,29,851,80,655
76,"If elected, I will build a great, great wall and Mars will pay for it.",133,15,0.0598219560026269,77,1.556390977443609,44,2142,74,655
77,Save the Earth? Now who's the narcissist?,151,22,0.059901141213762936,78,1.5562913907284768,40,4214,89,655
78,No!  I say that you have been given too much latitude already!,160,24,0.05864486109374293,79,1.55625,41,160,95,655
79,A stay-at-home mom for 4 1/2 billion years with no managerial expertise...,144,23,0.06293286603367348,80,1.5555555555555556,34,1421,87,655
80,"As you can see, my opponent is completely off his axis!",141,20,0.0615779766244101,81,1.553191489361702,38,3022,83,655
81,What makes you an expert on climate change?,152,24,0.06106230617689208,82,1.5526315789473684,36,1460,92,655
82,I'm afraid your time's almost up.,152,22,0.05961818920563723,83,1.5526315789473684,40,3807,90,655
83,It is common knowledge that my opponent is a master of spin,165,26,0.05856504119956395,84,1.5515151515151515,39,3840,100,655
84,I think you need a latitude adjustment.,133,16,0.060815980115461216,85,1.5488721804511278,41,1884,76,655
85,That wasn’t your position six months ago!,137,20,0.06299625051007772,86,1.5474452554744527,35,5205,82,655
86,I don't think you understand the gravity of the situation!,159,24,0.0589819647049903,87,1.5471698113207548,39,427,96,655
87,You can spin all you want,119,19,0.06933042857505893,88,1.546218487394958,27,2697,73,655
88,"Our next auction item, one used and abused planet. A real fixer upper, but with lots of potential.",134,22,0.06582919959597619,89,1.544776119402985,29,558,83,655
89,Could you be more Pacific?!,147,24,0.06273314915340282,90,1.5442176870748299,32,930,91,655
90,The earth has an announcement to make: it's bi-polar.,127,22,0.06869423794384462,91,1.5433070866141732,25,4769,80,655
91,And the moon is gonna pay for it.,127,21,0.06777841802323702,92,1.5433070866141732,27,5158,79,655
92,"Yes, my opponent may be worldly, but he also has a dark side.",140,21,0.06279825326960226,93,1.542857142857143,34,5210,85,655
93,"Well, I'm just warming up, too.",129,20,0.06604092717592534,94,1.5426356589147288,30,2813,79,655
94,Is my opponent going to reach a point or continue to go around in circles?,155,20,0.05733847619824991,95,1.5419354838709678,44,2341,91,655
95,"Furthermore, Fox just broke the story that you weren't even born in our solar system!",157,23,0.05890450578592516,96,1.5414012738853504,39,1668,95,655
96,"So, if you are here, what are we all standing on?",133,20,0.0644934679201072,97,1.5413533834586466,32,3921,81,655
97,As you can see the world is very big. Huge. Really huge. And there is a lot of water. Very wet water.,159,23,0.058333228722446374,98,1.5408805031446542,40,4095,96,655
98,"Proving, once again, it's me against the world.",163,25,0.058539754728417416,99,1.539877300613497,38,3887,100,655
99,And yet my opponent refuses to share her earth certificate!,139,19,0.06149205445388212,100,1.539568345323741,37,1395,83,655
100,It appears my opponent is getting heated.,130,20,0.06566375575444117,101,1.5384615384615385,30,450,80,655
101,I will concede that my opponent may have more gravitas.,130,17,0.06288041878556723,102,1.5384615384615385,36,4680,77,655
102,"I've seen Jupiter, sir. And you're no Jupiter.",158,25,0.05999010638240476,103,1.5379746835443038,35,4879,98,655
103,I catch your continental drift.,132,18,0.06308194538259519,104,1.5378787878787878,35,4040,79,655
104,"Yeah, and I guess you think the sun revolves around you!",134,18,0.06236350051593384,105,1.537313432835821,36,981,80,655
105,You don't look so hot to me.,155,20,0.057366751934101005,106,1.5354838709677419,43,1220,92,655
106,The Flat Earth Society welcomes a very controversial speaker tonight...,155,24,0.06021704866326627,107,1.5354838709677419,35,3867,96,655
107,"It isn't fair. You've been warming up for a while.
 I'm just getting started.",127,17,0.06402262948897885,108,1.5354330708661417,34,5228,76,655
108,My opponent seems to think the world of himself,146,19,0.05925404945743211,109,1.5342465753424657,40,1520,87,655
109,"You just have to put a spin on everything, don't you?",152,21,0.058977699554831335,110,1.5328947368421053,39,2472,92,655
110,My opponent is only showing half of the picture!,154,15,0.05385474619004239,111,1.5324675324675325,52,65,87,655
111,"I would ask my opponent to please refrain from finishing every argument with ""the world has spoken"".",139,21,0.06319455758670212,112,1.5323741007194245,32,1933,86,655
112,My opponent is a disaster waiting to happen.,147,20,0.059746710461388616,113,1.530612244897959,38,2799,89,655
113,Do you even understand the gravity of this situation?,132,15,0.06030168769726752,114,1.5303030303030303,40,2949,77,655
114,"In general, we at the Flat Earth Society do not lend much credibility to physical evidence.",136,19,0.06257124607658106,115,1.5294117647058822,34,3543,83,655
115,Could you be a bit more Pacific?,136,16,0.05990295026086065,116,1.5294117647058822,40,3800,80,655
116,No doubt my opponent will defend globalism.,157,19,0.05611439107764631,117,1.5286624203821657,45,1115,93,655
117,"Wait... if you're here, then what planet am I on?",142,21,0.062170045610043,118,1.528169014084507,33,1107,88,655
118,Can you be a bit more Pacific?,142,18,0.05971134070303303,119,1.528169014084507,39,3073,85,655
119,"Please, stop saying ""I think I 'm speaking for all of us...""",161,19,0.0550706151715772,120,1.5279503105590062,47,3191,95,655
120,You think everything revolves around you.,129,22,0.06791246305401251,121,1.5271317829457365,24,488,83,655
121,"My opponent, clearly, thinks the world of himself.",148,19,0.05867159243584647,122,1.527027027027027,40,4788,89,655
122,I will concede that my opponent speaks with exceptional gravity.,150,23,0.061083920464382685,123,1.5266666666666666,33,1983,94,655
123,Can I finish my point? You had 4.5 billion years to make yours.,158,19,0.05585840870302159,124,1.5253164556962024,45,4513,94,655
124,And what makes YOU an expert on climate change?,164,23,0.05701646091452319,125,1.524390243902439,40,2668,101,655
125,"Wait ... if you’re there, where am I?",151,17,0.056251121812580324,126,1.5231788079470199,45,1902,89,655
126,"OK, so maybe when I said I would ""take on the world"" I overpromised.",130,17,0.06293874942778138,127,1.523076923076923,34,636,79,655
127,"Global warming, world peace, global poverty""...For my opponent it's always, ""Me, me, me!",132,22,0.0667006989450151,128,1.5227272727272727,25,888,85,655
128,I'm for the voters while my opponent is for self-preservation.,155,22,0.05885051954476311,129,1.5225806451612902,37,4204,96,655
129,That's your best argument?  You have 4.5 billion years of life experience over me?,134,17,0.06151166635885825,130,1.5223880597014925,36,3823,81,655
130,"And you, sir, are no Mars.",159,24,0.05907527052469912,131,1.5220125786163523,35,62,100,655
131,"I knew planet Earth, you sir are no planet Earth.",159,21,0.05701800680369632,132,1.5220125786163523,41,1814,97,655
132,"When I said I’m willing to take on the whole world, it was a metaphor!",165,20,0.054770824547131954,133,1.5212121212121212,46,852,99,655
133,Why does it always feel like it's me against the world?,142,21,0.06218984363703398,134,1.5211267605633803,32,3049,89,655
134,Are you better off now than you were four billion years ago?,150,20,0.0588632054639773,135,1.52,38,4107,92,655
135,"No, I'm the one who's just warming up.",150,21,0.05961847378210367,136,1.52,36,4709,93,655
136,Doug mansplains climate change to Mother Earth,152,24,0.06119126083277027,137,1.519736842105263,31,760,97,655
137,You're clearly out of your orbit.,152,22,0.05975026067577256,138,1.519736842105263,35,2589,95,655
138,"And now, someone who needs no introduction.",127,19,0.06599814196820634,139,1.5196850393700787,28,4602,80,655
139,"So after Atlas shrugged, what happened?",131,21,0.06623074403073029,140,1.5190839694656488,26,3826,84,655
140,"Sure, my opponent claims she can provide clean air, clean water, enough food for everyone - but how is she going to pay for it?",133,20,0.06457310590218948,141,1.518796992481203,29,2033,84,655
141,"Well, it looks like the whole world is against me.",133,17,0.06187020693514076,142,1.518796992481203,35,3075,81,655
142,"That's not exactly what I meant, but you're getting warmer.",135,18,0.062073844513415764,143,1.5185185185185186,34,27,83,655
143,I give facts and all you get from her is spin.,135,18,0.062073844513415764,144,1.5185185185185186,34,4378,83,655
144,My opponant can spin as much as he likes but we all know that in 24 hours he will return to exactly the same position. Just admit it sir; you are a globalist!,147,19,0.058999313324408394,145,1.5170068027210883,38,1265,90,655
145,In case you haven't heard--you are not the center of the universe.,147,20,0.05978383504650121,146,1.5170068027210883,36,2928,91,655
146,You're constantly shifting your position.,151,22,0.06006200228054376,147,1.5165562913907285,34,4801,95,655
147,Stop spinning and give me a straight answer!,153,19,0.0572448010592604,148,1.5163398692810457,41,3131,93,655
148,"I knew Jupiter; I was a friend of Jupiter, and sir, you are no Jupiter.",155,21,0.05814824294415843,149,1.5161290322580645,38,2867,96,655
149,I would suggest to you that you are taking these climate change debates far too personally,132,14,0.05937920856662431,150,1.5151515151515151,40,1338,78,655
150,"If you're here, then where are we?",138,21,0.06359875280989033,151,1.5144927536231885,29,3981,88,655
151,My opponent is ignoring the gravity of this situation.,177,16,0.04946253545367372,152,1.5141242937853108,59,3903,102,655
152,"Oh, believe me. I'm just warming up, too!",144,15,0.056601936764088846,153,1.5138888888888888,44,3502,85,655
153,"Once again, my opponent proves the master of spin.",148,14,0.05464832366940063,154,1.5135135135135136,48,5124,86,655
154,So I guess it's me against the world.,150,19,0.05811095355603491,155,1.5133333333333334,39,2485,92,655
155,And what makes you the expert on global warming?,168,27,0.05848828369661588,156,1.5119047619047619,32,948,109,655
156,Please give a not-so-warm welcome to our next guest.,135,17,0.06119020962696568,157,1.511111111111111,35,2141,83,655
157,Just cool down.,141,19,0.06090920483553897,158,1.5106382978723405,34,705,88,655
158,"Oh, sure...next you'll be saying you speak for everyone.",143,18,0.0594362139998284,159,1.5104895104895104,37,4146,88,655
159,What if I’m right and the whole world IS wrong?,153,18,0.05649860272893429,160,1.5098039215686274,42,1245,93,655
160,My opponent is a known environmental extremist.,155,23,0.059580816069655235,161,1.5096774193548388,33,202,99,655
161,"Well, I guess it's me against the world, then!",159,21,0.05703995622392023,162,1.509433962264151,39,1684,99,655
162,"You see, the whole world is against me.",163,22,0.05664781631715537,163,1.50920245398773,39,2082,102,655
163,My opponent is a master at spinning.,163,24,0.057969438651586366,164,1.50920245398773,35,3602,104,655
164,The earth was captured by the sun.  I like planets that were not captured by the sun!,128,20,0.06654812744537761,165,1.5078125,25,2315,83,655
165,It's me against the world.,130,16,0.062013669070605314,166,1.5076923076923077,34,312,80,655
166,"My opponent, however, leans twenty three and a half degrees to the left but six months later will do exactly the opposire!",138,20,0.06277073115461695,167,1.5072463768115942,30,4069,88,655
167,All my opponent does is spin.,142,22,0.06301016250326122,168,1.5070422535211268,28,5193,92,655
168,My opponent seems to think the sun rises and sets on her alone!,144,18,0.05912838790786472,169,1.5069444444444444,37,2681,89,655
169,Volatile. Windy. Erupting. Stormy. These are all words commonly used to describe my opponent.,144,17,0.05830129637887845,170,1.5069444444444444,39,3112,88,655
170,There you go again... Spin. Spin. Spin.,144,17,0.05830129637887845,171,1.5069444444444444,39,5052,88,655
171,Please - you've had 5 billion years; you can wait another 30 seconds.,148,20,0.059489015536020595,172,1.5067567567567568,35,454,93,655
172,My opponent is all over the map.,150,20,0.05888347167406787,173,1.5066666666666666,36,3333,94,655
173,I can see Alaska from here!,154,22,0.05917030478114416,174,1.5064935064935066,34,724,98,655
174,Let me finish...you've had 4.5 billion years; it's my turn to talk.,154,20,0.05771793562010221,175,1.5064935064935066,38,4036,96,655
175,You thought you were too big to fail.,137,21,0.06397127246052772,176,1.5036496350364963,27,2367,89,655
176,My opponent obviously thinks the world of himself.,139,14,0.05719442493556687,177,1.5035971223021583,42,2101,83,655
177,Looks like it’s me against the world.,139,17,0.05986648049932558,178,1.5035971223021583,36,2202,86,655
178,"There you go again, always spinning things!",139,16,0.05898924539965584,179,1.5035971223021583,38,3494,85,655
179,Who cares what the world thinks!,139,18,0.060731045618624434,180,1.5035971223021583,34,3972,87,655
180,"Sir, could you be more pacific?",143,15,0.05690231215465533,181,1.5034965034965035,42,1091,86,655
181,You need to cool down before we continue.,143,22,0.06266836939176398,182,1.5034965034965035,28,3537,93,655
182,Is it warm in here or is it just you?,147,18,0.05822055313839402,183,1.5034013605442176,38,582,91,655
183,Point to where the orange man hurt you.,149,25,0.0629005655156891,184,1.5033557046979866,25,3570,99,655
184,My opponent thinks everything revolves around her.,149,21,0.059947495826970766,185,1.5033557046979866,33,5148,95,655
185,And our next expert on climate change needs no introduction...,155,23,0.05958535227705986,186,1.5032258064516129,32,4333,100,655
186,"Nothing but spin, folks!",161,20,0.05581428806090506,187,1.5031055900621118,41,4440,100,655
187,You too have faults.,163,21,0.05597945512651073,188,1.5030674846625767,40,548,102,655
188,"And now, introducing my special guest for Earth Day...",171,21,0.05399376246374444,189,1.5029239766081872,44,3774,106,655
189,You clearly fail to understand the gravity of the situation.,142,15,0.057196166465907174,190,1.5,41,1539,86,655
190,Would I be running for reelection if I cared what the world thinks?,136,15,0.05904099236933969,191,1.5,38,1733,83,655
191,The universe does not revolve around you!,144,16,0.05746523559730093,192,1.5,40,2030,88,655
192,Enough about your problems.,142,16,0.058062824416857395,193,1.5,39,2347,87,655
193,"With all due respect, the people are getting sick of your constant spin.",162,16,0.05272281108476971,194,1.5,49,2358,97,655
194,This is America! Who cares what the world thinks.,144,14,0.05574946733380605,195,1.5,44,2362,86,655
195,"You always have to turn everything into a global issue, don’t you?",126,21,0.06831300510639732,196,1.5,21,2952,84,655
196,What can you say when the whole world is against you?,140,18,0.06040289532479116,197,1.5,34,3393,88,655
197,"It's indisputable that my opponent likes to ""spin"".",144,15,0.05661385170722979,198,1.5,42,3907,87,655
198,"May I present, the leading authority on climate change.",144,16,0.05746523559730093,199,1.5,40,4548,88,655
199,You're not too big to fail.,158,20,0.05661156939678532,200,1.5,39,4755,99,655
200,I don't care how many revolutions you've started. You have to wait your turn.,148,18,0.05792578193291024,201,1.5,38,4775,92,655
201,I don't care for my opponent's spin.,152,14,0.05362430791574204,202,1.5,48,5150,90,655
202,And our next Earth Day speaker needs no introduction.,151,19,0.05782990372392055,203,1.4966887417218544,37,2256,95,655
203,"Are you going to answer the question, or just keep spinning?",147,18,0.05822055313839398,204,1.4965986394557824,37,554,92,655
204,"My opponent has 'flatly refused' and now he 'roundly condemns' - well, which is it?",147,19,0.05901542821886587,205,1.4965986394557824,35,1671,93,655
205,I know you’re just warming up,147,19,0.05901542821886587,206,1.4965986394557824,35,2209,93,655
206,"So if YOU'RE here, then what planet am I on?",145,19,0.05963180283290886,207,1.4965517241379311,34,3123,92,655
207,Must you put a spin on everything?,143,14,0.05603017108938987,208,1.4965034965034965,43,4147,86,655
208,My opponent’s arguments are just all over the map.,143,15,0.05690231215465533,209,1.4965034965034965,41,4285,87,655
209,My five minutes are up. I'm sure my opponent could go on for ages.,129,12,0.058365195140990686,210,1.496124031007752,40,5157,77,655
210,Must you spin everything?,158,18,0.05516668682204899,211,1.4936708860759493,42,967,98,655
211,You're just mad because you're melting in the polls.,158,21,0.0573170157996068,212,1.4936708860759493,36,4908,101,655
212,"There you go again, always promising the moon!",156,19,0.05642858187939285,213,1.4935897435897436,39,3301,98,655
213,Our next speaker will share a more global perspective.,156,14,0.052636678497273943,214,1.4935897435897436,49,4851,93,655
214,What on earth are you talking about?,154,20,0.05771793562010223,215,1.4935064935064934,36,387,98,655
215,I don't think my opponent appreciates the gravity of the situation.,154,21,0.05844863155001903,216,1.4935064935064934,34,1039,99,655
216,"And now, for a global perspective.",152,13,0.05280285394093537,217,1.493421052631579,49,2552,90,655
217,"And to my left, the Democratic candidates for President of the United States.",148,23,0.061763492125337306,218,1.4932432432432432,27,2075,98,655
218,I guess it really is me against the world.,148,17,0.057124049045679484,219,1.4932432432432432,39,2210,92,655
219,And how do you feel about Europe and Asia talking behind your back?,146,19,0.05931953562527983,220,1.4931506849315068,34,3016,93,655
220,Stop! It's all just spin!,138,17,0.0601897426584814,221,1.4927536231884058,34,2856,87,655
221,... and I assert that the only reason you support the idea of global warming is your own self interest.,138,21,0.06360779207363039,222,1.4927536231884058,26,4587,91,655
222,Stop spinning everything.,128,16,0.06274175071062531,223,1.4921875,31,4441,81,655
223,What my opponent fails to mention is that I WILL build a wall. And Mars will pay for it!,120,16,0.06588742769237417,224,1.4916666666666667,27,4799,77,655
224,Why is it always me against the world?!,159,22,0.05773359595527332,225,1.490566037735849,34,364,103,655
225,"You claim to think globally, but can we afford to have a president who is bipolar?",157,26,0.061033771099896376,226,1.4904458598726114,25,3660,106,655
226,You say you want a revolution?,104,12,0.06831372341822282,227,1.4903846153846154,27,4088,65,655
227,"My opponent can't even give us a straight answer about their age. Are you 5,779 or 4.5 billion years old?",155,18,0.05595478300127004,228,1.4903225806451612,40,3272,97,655
228,"I suppose it really is ""me against the world""!",143,20,0.06107085759273783,229,1.4895104895104896,30,1570,93,655
229,Voters want the truth but you just spin.,143,15,0.05689625968299488,230,1.4895104895104896,40,1693,88,655
230,MEDICS! Something just fell on our president!,141,20,0.06173530882964272,231,1.4893617021276595,29,3013,92,655
231,71% of my opponent's surface is covered with water. He is practically all wet. He is 4.54 billion years old! He takes 24 hours to rotate on his axis! Let's not even mention the gaping hole in his ozone layer. vote for me.,135,19,0.062971091726435,232,1.488888888888889,28,2819,88,655
232,"I too, am just warming up!",133,12,0.057096670425536435,233,1.4887218045112782,41,1509,80,655
233,I believe your time is almost up,133,15,0.06001494208395576,234,1.4887218045112782,35,4663,83,655
234,My opponent would have you believe that a crisis is looming...,131,11,0.0566913248048728,235,1.4885496183206106,42,4429,78,655
235,"If you're here, what are we standing on?",125,16,0.06387083740618832,236,1.488,29,3581,80,655
236,Next thing you’re going to say is that WE are to blame for your problems.,158,18,0.055159748925169116,237,1.4873417721518987,41,1176,99,655
237,"Despite our differences, I can certainly appreciate your uniquely global perspective.”",158,21,0.05731033821866731,238,1.4873417721518987,35,3174,102,655
238,Our next presenter has tremendous gravitas.,158,19,0.05588580818572049,239,1.4873417721518987,39,4257,100,655
239,My opponent represents everything that is wrong with the world today.,154,17,0.05546067076572037,240,1.4870129870129871,41,3303,96,655
240,Enough spin!,154,15,0.05390845134240457,241,1.4870129870129871,45,5067,94,655
241,My opponent will promise you the moon.,152,16,0.05521500333558019,242,1.486842105263158,42,2090,94,655
242,"Just when the debate started to get interesting, Atlas shrugged.",152,22,0.059762252700113205,243,1.486842105263158,30,3780,100,655
243,What makes you think you can speak for the whole world?,146,17,0.05769653428073338,244,1.4863013698630136,37,5,92,655
244,And now for a global perspective on tonight's topic...,144,14,0.055737367612050136,245,1.4861111111111112,42,348,88,655
245,I told you I’m not paranoid..the world IS against me,140,19,0.06123574506243823,246,1.4857142857142858,30,1113,91,655
246,I think we've all had about enough of your spin.,138,14,0.05748300356970366,247,1.4855072463768115,39,278,85,655
247,I'm hot and gassy too and I don't blame YOU for it.,138,16,0.05929476153075038,248,1.4855072463768115,35,3897,87,655
248,"My sincere apologies to our next presenter, but, it seems, we have run out of time.",136,17,0.06084489917597836,249,1.4852941176470589,32,2777,87,655
249,Of course my opponent promises you the world. But does he have anything else to offer?,136,17,0.06084489917597836,250,1.4852941176470589,32,3298,87,655
250,"No, only most of the stage is a world.",136,20,0.06347360980246741,251,1.4852941176470589,26,3747,90,655
251,My opponent's views on global climate change are clearly self-serving.,161,18,0.054392173565642826,252,1.484472049689441,42,541,101,655
252,I knew Jupiter. And you’re no Jupiter.,161,21,0.05649272342393664,253,1.484472049689441,36,5188,104,655
253,The World speaks for itself. The question is whether anyone is listening.,126,15,0.06247196398144263,254,1.4841269841269842,31,1424,80,655
254,``You're hot? Well my feet hurt. Now answer the question.'',126,18,0.06544997070015422,255,1.4841269841269842,25,4748,83,655
255,Being 4.6 Billion years old doesn't make you an expert in everything!,157,19,0.05614682312737902,256,1.484076433121019,38,2530,100,655
256,"This is big, no matter how you spin it.",157,18,0.055414857483973345,257,1.484076433121019,40,3232,99,655
257,I would like to urge my distinguished opponent to cool down.,153,17,0.05572224532718772,258,1.4836601307189543,40,108,96,655
258,I'm afraid your time is up.,153,16,0.05494514821435819,259,1.4836601307189543,42,4629,95,655
259,"Respectfully, you don't speak for everyone.",153,19,0.0572448010592604,260,1.4836601307189543,36,5084,98,655
