caption,unfunny,somewhat_funny,funny,count,contest
"That's the last time we raid a Cirque du Soleil cruise.
",336.0,78.0,39.0,453.0,559
"You can always tell the ones from Penzance.
",349.0,76.0,42.0,467.0,559
"Now that's what I call a perfect execution.
",345.0,78.0,39.0,462.0,559
"Now, that's a perfect execution.
",355.0,82.0,39.0,476.0,559
"Well, that's a perfect execution!
",335.0,86.0,33.0,454.0,559
"That's going a bit overboard.
",310.0,82.0,28.0,420.0,559
"I'll give him a 10 for execution.
",340.0,74.0,37.0,451.0,559
"Oh, to have two legs again.
",350.0,91.0,32.0,473.0,559
"He always had a flair for execution.
",336.0,89.0,30.0,455.0,559
"This is the last time we take over a ship from Cirque du Soleil.
",331.0,83.0,31.0,445.0,559
"Definitely from Penzance
",339.0,85.0,31.0,455.0,559
"His execution was perfect!
",326.0,62.0,37.0,425.0,559
"Sort of takes the fun out of it.
",323.0,94.0,23.0,440.0,559
"He's gone a little overboard.
",319.0,87.0,25.0,431.0,559
"I hope he knows we've run aground.
",365.0,64.0,43.0,472.0,559
"On the other hand, I'll miss his sense of humor.
",337.0,99.0,23.0,459.0,559
"Argh! A perfect execution!
",355.0,82.0,33.0,470.0,559
"Gotta be from Penzance.
",302.0,92.0,18.0,412.0,559
"I don't think this is his first time.
",356.0,89.0,29.0,474.0,559
"Truth be told, boys, I don't think he ever really self-identified as a pirate.
",356.0,84.0,31.0,471.0,559
"His private diving lessons cost me an arm and a leg.
",350.0,64.0,38.0,452.0,559
"Talk about going overboard.
",328.0,88.0,24.0,440.0,559
"His execution was a 10.
",359.0,77.0,34.0,470.0,559
"Jolly Roger...to the end.
",342.0,80.0,29.0,451.0,559
"That's exactly why I want him out of here.
",347.0,84.0,28.0,459.0,559
"And that's why we had to get rid of him.
",336.0,90.0,23.0,449.0,559
"You gotta hand it to him. He lives in the moment.
",332.0,88.0,23.0,443.0,559
"I asked for a CANNONBALL!
",357.0,85.0,28.0,470.0,559
"Ten for execution.
",360.0,58.0,39.0,457.0,559
"It's all in the execution.
",360.0,72.0,33.0,465.0,559
"He takes all the fun out of torture.
",348.0,74.0,30.0,452.0,559
"Does anyone else think he is going a little overboard?
",372.0,83.0,30.0,485.0,559
"Given the circumstances, he is taking it quite well.
",338.0,95.0,18.0,451.0,559
"Too bad he's discovered this talent so late in life.
",342.0,52.0,36.0,430.0,559
"He's taking all the fun out of this for me.
",342.0,82.0,21.0,445.0,559
"Beautifully executed.
",336.0,70.0,25.0,431.0,559
"Now, that's what I call execution.
",366.0,64.0,32.0,462.0,559
"He gets a 10 on his execution.
",362.0,66.0,30.0,458.0,559
"He takes all the fun out of it.
",354.0,77.0,24.0,455.0,559
"Oh now he shows some enthusiasm for the job.
",359.0,93.0,18.0,470.0,559
"He's just ok. You should have seen me when I had both legs.
",350.0,80.0,22.0,452.0,559
"He thinks he's being clever--but he doesn't realize we ran aground last night.
",347.0,59.0,30.0,436.0,559
"The French always have to be so damned dramatic!
",344.0,79.0,20.0,443.0,559
"Now that's what I call a glass half full guy.
",340.0,73.0,21.0,434.0,559
"A little overboard, no?
",379.0,70.0,28.0,477.0,559
"Even more insubordination!
",382.0,75.0,26.0,483.0,559
"That's what's called going out in style.
",368.0,74.0,24.0,466.0,559
"That is not what I meant by execution.
",346.0,68.0,23.0,437.0,559
"I love when we capture one of the Cirque du Soleil guys
",346.0,70.0,22.0,438.0,559
"Well, I give him a 10 for execution.
",365.0,64.0,27.0,456.0,559
"I think he went a little overboard.
",347.0,82.0,16.0,445.0,559
"If either of you say, 'Nice arrrrrrc' you're next.
",374.0,73.0,23.0,470.0,559
"Such graceful execution!
",350.0,71.0,20.0,441.0,559
"It's his swan song.
",385.0,66.0,27.0,478.0,559
"Oh, sure, NOW you make an effort!
",374.0,73.0,22.0,469.0,559
"I try not to judge
",359.0,65.0,23.0,447.0,559
"If it helps, that's a ten.
",360.0,75.0,17.0,452.0,559
"I always feel robbed by the few who embrace their destiny.
",362.0,61.0,22.0,445.0,559
"It's a shame that we've run aground.
",391.0,60.0,26.0,477.0,559
"It all comes down to execution.
",363.0,65.0,20.0,448.0,559
"I was expecting a cannonball.
",365.0,74.0,16.0,455.0,559
"Aye. He was a thief, but he sure had style.
",356.0,69.0,16.0,441.0,559
"But can he do a cannonball?
",365.0,67.0,18.0,450.0,559
"Some guys like to go out with a splash.
",369.0,74.0,15.0,458.0,559
"Now THAT'S overboard!
",376.0,73.0,16.0,465.0,559
"Well, he always said he'd make a big splash!
",349.0,73.0,11.0,433.0,559
"This is his way of going out in style.
",377.0,63.0,18.0,458.0,559
"Methinks he's done this before!
",371.0,73.0,12.0,456.0,559
"If he nails the entry, I'll call it a 10.
",385.0,67.0,16.0,468.0,559
"You can tell he's done a lot of planks.
",371.0,54.0,20.0,445.0,559
"Looks like he'll nail the entry, but let's see how he does on the exit.
",380.0,62.0,15.0,457.0,559
"Somehow, we didn't reach that guy.
",382.0,66.0,13.0,461.0,559
"Now I remember. Canon ball. We forgot the canon ball.
",385.0,67.0,12.0,464.0,559
"This happened on the Bounty, too.
",385.0,51.0,18.0,454.0,559
"Bloody exhibitionist!
",377.0,64.0,11.0,452.0,559
"He's really going overboard with these dives.
",407.0,64.0,12.0,483.0,559
"Enjoy your spring break!
",386.0,49.0,16.0,451.0,559
"feet together....toes pointed.....should score well
",381.0,61.0,10.0,452.0,559
"I just love watching them walk the springboard.
",392.0,50.0,16.0,458.0,559
"Bloody 'ell! A swan dive!? Lads, in my day, the intrepid hero woulda done a double reverse somersault to escape...
",392.0,41.0,20.0,453.0,559
"Great form – a 9.8 for execution.
",350.0,51.0,11.0,412.0,559
"What a Swan Song.
",390.0,59.0,11.0,460.0,559
"I'm sorry, the difficulty just isn't there.
",402.0,57.0,13.0,472.0,559
"This is nothing compared to the dives he comes out of when on shore.
",398.0,52.0,13.0,463.0,559
"Wow..I give it a 9 and a hook...
",383.0,50.0,12.0,445.0,559
"Some people have all the fun.
",373.0,36.0,16.0,425.0,559
"Cognitive dissonance?
",391.0,44.0,13.0,448.0,559
"Beat Smee
",404.0,39.0,15.0,458.0,559
"I give him a 9.5!
",402.0,49.0,10.0,461.0,559
"Davy Jones finally got to use the gym clothes in his locker.
",396.0,38.0,13.0,447.0,559
"I see we're off to a flying start.
",399.0,42.0,11.0,452.0,559
"Keep an eye on him matey, I don't like the looks of this.
",397.0,39.0,10.0,446.0,559
"Did he just say his pronoun is 'wheeeee'?
",422.0,34.0,12.0,468.0,559
"Yeah, but can he carry a large sword when he does it??
",404.0,42.0,7.0,453.0,559
"He dove off the plank. I told you he was tired of hearing about Trump, we've got to talk about something else.
",436.0,31.0,14.0,481.0,559
"Arrgh, it's the Olympic death spiral!
",428.0,42.0,8.0,478.0,559
"I just remember, I've got extra tickets to Cirque du Soleil.
",399.0,45.0,2.0,446.0,559
"Arrghh..he puts a buckle in me swash!
",421.0,37.0,6.0,464.0,559
"I said flying jib, not flying jump.
",417.0,27.0,10.0,454.0,559
"I hope the whales like plankton.
",404.0,34.0,3.0,441.0,559
"Ugly Duck is simply performing his swan song.
",413.0,24.0,6.0,443.0,559
"That was my car.
",464.0,9.0,2.0,475.0,559
